"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-03-01","back-endStreich-Schu","copilot","copilot_premium_request","Claude Sonnet 4.6","121","requests","0.04","4.84000000000001","4.84000000000001","0","False","300","soylent-corp","devex","0","0"
"2026-03-01","polly99","copilot","copilot_premium_request","Code Review model","3","requests","0.04","0.12","0.12","0","False","1000","cyberdyne-sys","compliance","0","0"
"2026-03-01","polly99","copilot","copilot_premium_request","GPT-5","300","requests","0.04","12","12","0","False","1000","soylent-corp","ml-infra","0","0"
"2026-03-01","wilkinson-short","copilot","copilot_premium_request","Gemini 3 Pro","396","requests","0.04","15.84","15.84","0","False","1000","dunder-mifflin-tech","data-eng","0","0"
"2026-03-01","herzog-clean","copilot","coding_agent_premium_request","Coding Agent model","6","requests","0.04","0.239999999999996","0.239999999999996","0","False","1000","umbrella-corp","","0","0"
"2026-03-01","herzog-clean","copilot","copilot_premium_request","Claude Sonnet 4.6","164","requests","0.04","6.56000000000001","6.56000000000001","0","False","1000","acme-corp","cloud-native","0","0"
"2026-03-01","herzog-clean","copilot","copilot_premium_request","Code Review model","8","requests","0.04","0.319999999999981","0.319999999999981","0","False","1000","starkindustries","cloud-native","0","0"
"2026-03-01","lorena30","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.200000000000005","0.200000000000005","0","False","300","soylent-corp","security-ops","0","0"
"2026-03-01","lorena30","copilot","copilot_premium_request","GPT-5.2","202","requests","0.04","8.08000000000001","8.08000000000001","0","False","1000","oscorp","security-ops","0","0"
"2026-03-01","geneva94","copilot","copilot_premium_request","Claude Opus 4.5","51","requests","0.04","2.03999999999998","2.03999999999998","0","False","1000","wonka-factory","compliance","0","0"
"2026-03-01","geneva94","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.19999999999998","0.19999999999998","0","False","1000","springfield-nuclear","data-eng","0","0"
"2026-03-01","geneva94","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.0400000000000047","0.0400000000000047","0","False","1000","daily-planet-dev","","0","0"
"2026-03-01","geneva94","copilot","copilot_premium_request","GPT-5","250","requests","0.04","9.99999999999999","9.99999999999999","0","False","1000","Bluth-Company","","0","0"
"2026-03-01","cross-platformGraham","copilot","copilot_premium_request","Gemini 2.5 Pro","220","requests","0.04","8.79999999999998","8.79999999999998","0","False","1000","cyberdyne-sys","cloud-native","0","0"
"2026-03-01","cross-platformGraham","copilot","copilot_premium_request","Claude Sonnet 4.5","23","requests","0.04","0.920000000000013","0.920000000000013","0","False","1000","wonka-factory","frontend-guild","0","0"
"2026-03-01","cross-platformGraham","copilot","copilot_premium_request","Claude Sonnet 4.6","87","requests","0.04","3.48000000000002","3.48000000000002","0","False","1000","vandelay-industries","cloud-native","0","0"
"2026-03-01","cross-platformGraham","copilot","copilot_premium_request","Claude Haiku 4.5","139","requests","0.04","5.55999999999998","5.55999999999998","0","False","300","dunder-mifflin-tech","devex","0","0"
"2026-03-01","daryl90","copilot","copilot_premium_request","Claude Sonnet 4.5","385","requests","0.04","15.4","15.4","0","False","1000","soylent-corp","devex","0","0"
"2026-03-01","senger-weigh","copilot","copilot_premium_request","GPT-5.1","110","requests","0.04","4.39999999999998","4.39999999999998","0","False","1000","vandelay-industries","","0","0"
"2026-03-01","lisandro88","copilot","copilot_premium_request","GPT-5.1","317","requests","0.04","12.68","12.68","0","False","1000","springfield-nuclear","","0","0"
"2026-03-01","lisandro88","copilot","copilot_premium_request","GPT-5.2","204","requests","0.04","8.16","8.16","0","False","1000","Bluth-Company","platform-team","0","0"
"2026-03-01","lisandro88","copilot","copilot_premium_request","Claude Opus 4.5","302","requests","0.04","12.08","12.08","0","False","1000","cyberdyne-sys","security-ops","0","0"
"2026-03-01","lisandro88","copilot","copilot_premium_request","Claude Haiku 4.5","57","requests","0.04","2.28","2.28","0","False","1000","waynetech","compliance","0","0"
"2026-03-01","rhonda96","copilot","copilot_premium_request","Gemini 2.5 Pro","10","requests","0.04","0.399999999999986","0.399999999999986","0","False","300","globex-inc","","0","0"
"2026-03-01","rhonda96","copilot","copilot_premium_request","GPT-5.2-Codex","32","requests","0.04","1.27999999999999","1.27999999999999","0","False","1000","cyberdyne-sys","platform-team","0","0"
"2026-03-01","rhonda96","copilot","copilot_premium_request","GPT-5.1","268","requests","0.04","10.72","10.72","0","False","1000","prestige-worldwide","","0","0"
"2026-03-01","brett64","copilot","copilot_premium_request","Code Review model","6","requests","0.04","0.239999999999993","0.239999999999993","0","False","1000","initech","security-ops","0","0"
"2026-03-01","brett64","copilot","copilot_premium_request","GPT-5","373","requests","0.04","14.92","14.92","0","False","1000","aperture-labs","data-eng","0","0"
"2026-03-01","brett64","copilot","copilot_premium_request","GPT-5.2","119","requests","0.04","4.75999999999999","4.75999999999999","0","False","1000","acme-corp","cloud-native","0","0"
"2026-03-01","brett64","copilot","copilot_premium_request","Claude Sonnet 4.6","171","requests","0.04","6.84","6.84","0","False","300","soylent-corp","devex","0","0"
"2026-03-01","back-endRobel","copilot","copilot_premium_request","GPT-5.3-Codex","251","requests","0.04","10.04","10.04","0","False","1000","acme-corp","platform-team","0","0"
"2026-03-01","back-endRobel","copilot","copilot_premium_request","Code Review model","6","requests","0.04","0.240000000000009","0.240000000000009","0","False","1000","hooli","cloud-native","0","0"
"2026-03-01","antonia68","copilot","copilot_premium_request","Gemini 2.5 Pro","323","requests","0.04","12.92","12.92","0","False","1000","initech","data-eng","0","0"
"2026-03-01","antonia68","copilot","copilot_premium_request","Claude Sonnet 4.5","363","requests","0.04","14.52","14.52","0","True","300","cyberdyne-sys","","0","0"
"2026-03-01","antonia68","copilot","copilot_premium_request","GPT-5","335","requests","0.04","13.4","13.4","0","False","1000","hooli","data-eng","0","0"
"2026-03-01","wirelessWehner","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.199999999999996","0.199999999999996","0","False","300","starkindustries","ml-infra","0","0"
"2026-03-01","claude60","copilot","copilot_premium_request","Code Review model","7","requests","0.04","0.279999999999982","0.279999999999982","0","False","1000","oscorp","","0","0"
"2026-03-01","claude60","copilot","copilot_premium_request","GPT-5.2-Codex","58","requests","0.04","2.32000000000002","2.32000000000002","0","False","1000","daily-planet-dev","devex","0","0"
"2026-03-01","claude60","spark","spark_premium_request","GPT-5.1","196","requests","0.04","7.83999999999998","7.83999999999998","0","False","1000","waynetech","","0","0"
"2026-03-01","andy48","copilot","copilot_premium_request","GPT-5","258","requests","0.04","10.32","10.32","0","False","1000","soylent-corp","cloud-native","0","0"
"2026-03-01","andy48","copilot","copilot_premium_request","Gemini 2.5 Pro","222","requests","0.04","8.88000000000001","8.88000000000001","0","False","1000","springfield-nuclear","ml-infra","0","0"
"2026-03-01","andy48","copilot","copilot_premium_request","Claude Opus 4.6","27","requests","0.04","1.08000000000002","1.08000000000002","0","False","1000","starkindustries","frontend-guild","0","0"
"2026-03-01","andy48","copilot","copilot_premium_request","Claude Sonnet 4.5","167","requests","0.04","6.68","6.68","0","False","1000","starkindustries","","0","0"
"2026-03-01","virtualFarrell","copilot","copilot_premium_request","GPT-5.1","277","requests","0.04","11.08","11.08","0","False","1000","piedpiper","ml-infra","0","0"
"2026-03-01","nathanial81","copilot","copilot_premium_request","Gemini 2.5 Pro","6","requests","0.04","0.240000000000008","0.240000000000008","0","False","1000","acme-corp","","0","0"
"2026-03-01","nathanial81","copilot","copilot_premium_request","GPT-5","257","requests","0.04","10.28","10.28","0","False","300","oscorp","data-eng","0","0"
"2026-03-01","nathanial81","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.0800000000000169","0.0800000000000169","0","False","1000","daily-planet-dev","cloud-native","0","0"
"2026-03-01","primaryMetz","copilot","copilot_premium_request","Claude Haiku 4.5","31","requests","0.04","1.23999999999998","1.23999999999998","0","False","1000","oscorp","platform-team","0","0"
"2026-03-01","primaryMetz","copilot","copilot_premium_request","Claude Sonnet 4.6","388","requests","0.04","15.52","15.52","0","True","300","starkindustries","security-ops","0","0"
"2026-03-01","primaryMetz","copilot","copilot_premium_request","Gemini 3 Pro","39","requests","0.04","1.55999999999998","1.55999999999998","0","False","1000","cyberdyne-sys","ml-infra","0","0"
"2026-03-01","primaryMetz","copilot","copilot_premium_request","GPT-5.2-Codex","115","requests","0.04","4.6","4.6","0","False","1000","vandelay-industries","","0","0"
"2026-03-01","erik67","copilot","copilot_premium_request","GPT-5.2","348","requests","0.04","13.92","13.92","0","False","1000","oscorp","","0","0"
"2026-03-01","opticalMorar","copilot","copilot_premium_request","Claude Haiku 4.5","383","requests","0.04","15.32","15.32","0","False","1000","piedpiper","frontend-guild","0","0"
"2026-03-01","opticalMorar","copilot","copilot_premium_request","GPT-5","65","requests","0.04","2.60000000000001","2.60000000000001","0","False","300","hooli","","0","0"
"2026-03-01","opticalMorar","copilot","copilot_premium_request","Claude Sonnet 4.5","163","requests","0.04","6.51999999999999","6.51999999999999","0","False","300","Bluth-Company","cloud-native","0","0"
"2026-03-01","opticalMorar","copilot","copilot_premium_request","Claude Opus 4.5","271","requests","0.04","10.84","10.84","0","False","1000","daily-planet-dev","devex","0","0"
"2026-03-01","toney60","copilot","copilot_premium_request","Claude Opus 4.6","389","requests","0.04","15.56","15.56","0","False","1000","hooli","compliance","0","0"
"2026-03-01","toney60","copilot","copilot_premium_request","GPT-5","330","requests","0.04","13.2","13.2","0","False","1000","vandelay-industries","cloud-native","0","0"
"2026-03-01","florence_medhurst","copilot","copilot_premium_request","GPT-5.2","109","requests","0.04","4.36","4.36","0","False","300","wonka-factory","platform-team","0","0"
"2026-03-01","florence_medhurst","copilot","copilot_premium_request","Claude Haiku 4.5","34","requests","0.04","1.35999999999999","1.35999999999999","0","False","1000","springfield-nuclear","devex","0","0"
"2026-03-01","florence_medhurst","copilot","copilot_premium_request","GPT-5","361","requests","0.04","14.44","14.44","0","True","300","oscorp","platform-team","0","0"
"2026-03-01","florence_medhurst","copilot","copilot_premium_request","GPT-5.1","46","requests","0.04","1.84000000000002","1.84000000000002","0","False","1000","dunder-mifflin-tech","data-eng","0","0"
"2026-03-01","oconnell-defin","copilot","copilot_premium_request","Gemini 2.5 Pro","258","requests","0.04","10.32","10.32","0","False","1000","springfield-nuclear","","0","0"
"2026-03-01","josue79","copilot","copilot_premium_request","Gemini 2.5 Pro","183","requests","0.04","7.32000000000002","7.32000000000002","0","False","1000","cyberdyne-sys","security-ops","0","0"
"2026-03-01","josue79","copilot","copilot_premium_request","GPT-5","229","requests","0.04","9.16000000000001","9.16000000000001","0","False","1000","dunder-mifflin-tech","cloud-native","0","0"
"2026-03-01","stephen_kuvalis49","copilot","copilot_premium_request","GPT-5.2","73","requests","0.04","2.92000000000002","2.92000000000002","0","False","300","aperture-labs","platform-team","0","0"
"2026-03-01","stephen_kuvalis49","copilot","copilot_premium_request","Claude Haiku 4.5","294","requests","0.04","11.76","11.76","0","False","1000","initech","data-eng","0","0"
"2026-03-01","stephen_kuvalis49","copilot","copilot_premium_request","Gemini 3 Pro","243","requests","0.04","9.71999999999998","9.71999999999998","0","False","1000","springfield-nuclear","cloud-native","0","0"
"2026-03-01","stephen_kuvalis49","copilot","copilot_premium_request","Gemini 2.5 Pro","17","requests","0.04","0.680000000000015","0.680000000000015","0","False","1000","soylent-corp","","0","0"
"2026-03-01","lois13","copilot","copilot_premium_request","GPT-5.2","75","requests","0.04","3.00000000000001","3.00000000000001","0","False","300","vandelay-industries","","0","0"
"2026-03-01","lois13","spark","spark_premium_request","Claude Opus 4.6","86","requests","0.04","3.44000000000002","3.44000000000002","0","False","1000","wonka-factory","","0","0"
"2026-03-01","lois13","copilot","copilot_premium_request","Claude Haiku 4.5","323","requests","0.04","12.92","12.92","0","False","1000","Bluth-Company","","0","0"
"2026-03-01","lois13","copilot","copilot_premium_request","Gemini 2.5 Pro","202","requests","0.04","8.07999999999999","8.07999999999999","0","False","1000","oscorp","cloud-native","0","0"
"2026-03-01","bluetoothBayer","copilot","copilot_premium_request","Gemini 3 Pro","45","requests","0.04","1.80000000000001","1.80000000000001","0","False","300","wonka-factory","platform-team","0","0"
"2026-03-01","bluetoothBayer","copilot","coding_agent_premium_request","Coding Agent model","3","requests","0.04","0.120000000000015","0.120000000000015","0","False","300","cyberdyne-sys","","0","0"
"2026-03-01","bluetoothBayer","copilot","copilot_premium_request","GPT-5","113","requests","0.04","4.52000000000001","4.52000000000001","0","False","1000","vandelay-industries","","0","0"
"2026-03-01","bluetoothBayer","copilot","copilot_premium_request","GPT-5.2","95","requests","0.04","3.8","3.8","0","False","300","aperture-labs","","0","0"
"2026-03-01","hirthe-grant-trivi","copilot","copilot_premium_request","Claude Opus 4.5","277","requests","0.04","11.08","11.08","0","False","1000","acme-corp","frontend-guild","0","0"
"2026-03-01","ludiemante36","copilot","coding_agent_premium_request","Coding Agent model","7","requests","0.04","0.280000000000013","0.280000000000013","0","False","1000","cyberdyne-sys","","0","0"
"2026-03-01","open-sourceNitzsche","copilot","copilot_premium_request","Claude Sonnet 4.6","56","requests","0.04","2.23999999999998","2.23999999999998","0","False","1000","acme-corp","security-ops","0","0"
"2026-03-01","open-sourceNitzsche","copilot","copilot_premium_request","Claude Haiku 4.5","24","requests","0.04","0.960000000000004","0.960000000000004","0","False","1000","globex-inc","security-ops","0","0"
"2026-03-01","dashawn_nader53","copilot","copilot_premium_request","GPT-5.2-Codex","24","requests","0.04","0.959999999999998","0.959999999999998","0","False","1000","starkindustries","","0","0"
"2026-03-01","dashawn_nader53","copilot","copilot_premium_request","GPT-5.3-Codex","305","requests","0.04","12.2","12.2","0","False","1000","daily-planet-dev","","0","0"
"2026-03-01","macejkovic-ugly","copilot","copilot_premium_request","GPT-5","75","requests","0.04","3.00000000000002","3.00000000000002","0","False","1000","cyberdyne-sys","ml-infra","0","0"
"2026-03-01","virtualGottlieb","copilot","copilot_premium_request","GPT-5.2","285","requests","0.04","11.4","11.4","0","False","1000","Bluth-Company","","0","0"
"2026-03-01","virtualGottlieb","copilot","copilot_premium_request","Claude Sonnet 4.6","274","requests","0.04","10.96","10.96","0","False","300","globex-inc","","0","0"
"2026-03-01","virtualGottlieb","copilot","copilot_premium_request","Claude Haiku 4.5","268","requests","0.04","10.72","10.72","0","False","300","vandelay-industries","","0","0"
"2026-03-01","white-wicke","spark","spark_premium_request","Claude Sonnet 4.5","354","requests","0.04","14.16","14.16","0","True","300","wonka-factory","security-ops","0","0"
"2026-03-01","white-wicke","copilot","copilot_premium_request","Gemini 3 Pro","133","requests","0.04","5.31999999999999","5.31999999999999","0","False","1000","initech","cloud-native","0","0"
"2026-03-01","white-wicke","copilot","copilot_premium_request","Claude Haiku 4.5","301","requests","0.04","12.04","12.04","0","True","300","cyberdyne-sys","cloud-native","0","0"
"2026-03-01","mueller-tough","copilot","copilot_premium_request","Claude Opus 4.5","391","requests","0.04","15.64","15.64","0","False","1000","hooli","frontend-guild","0","0"
"2026-03-01","mueller-tough","copilot","copilot_premium_request","Claude Sonnet 4.6","80","requests","0.04","3.20000000000001","3.20000000000001","0","False","1000","waynetech","compliance","0","0"
"2026-03-01","mueller-tough","copilot","copilot_premium_request","GPT-5.2","196","requests","0.04","7.83999999999998","7.83999999999998","0","False","1000","vandelay-industries","","0","0"
"2026-03-01","mueller-tough","copilot","copilot_premium_request","GPT-5.1","143","requests","0.04","5.71999999999999","5.71999999999999","0","False","1000","springfield-nuclear","","0","0"
"2026-03-01","franey-happy","copilot","copilot_premium_request","Claude Sonnet 4.6","250","requests","0.04","9.99999999999999","9.99999999999999","0","False","1000","springfield-nuclear","","0","0"
"2026-03-01","franey-happy","copilot","copilot_premium_request","GPT-5.3-Codex","393","requests","0.04","15.72","15.72","0","False","1000","daily-planet-dev","devex","0","0"
"2026-03-01","fletcher35","copilot","copilot_premium_request","Claude Opus 4.5","44","requests","0.04","1.76","1.76","0","False","1000","dunder-mifflin-tech","","0","0"
"2026-03-01","fletcher35","copilot","copilot_premium_request","Claude Opus 4.6","261","requests","0.04","10.44","10.44","0","False","300","piedpiper","","0","0"
"2026-03-01","fletcher35","copilot","copilot_premium_request","GPT-5.2","247","requests","0.04","9.88000000000002","9.88000000000002","0","False","1000","waynetech","","0","0"
"2026-03-01","fletcher35","copilot","copilot_premium_request","Claude Sonnet 4.5","59","requests","0.04","2.36","2.36","0","False","300","globex-inc","","0","0"
"2026-03-01","abigail22","copilot","copilot_premium_request","GPT-5.2","236","requests","0.04","9.44000000000001","9.44000000000001","0","False","1000","massive-dynamic","devex","0","0"
"2026-03-01","abigail22","copilot","copilot_premium_request","Claude Opus 4.6","301","requests","0.04","12.04","12.04","0","True","300","acme-corp","ml-infra","0","0"
"2026-03-01","abigail22","copilot","copilot_premium_request","Gemini 2.5 Pro","273","requests","0.04","10.92","10.92","0","False","1000","aperture-labs","","0","0"
"2026-03-01","abigail22","copilot","copilot_premium_request","Claude Sonnet 4.6","363","requests","0.04","14.52","14.52","0","False","1000","massive-dynamic","data-eng","0","0"
"2026-03-01","murazik-mealy","copilot","coding_agent_premium_request","Coding Agent model","6","requests","0.04","0.240000000000021","0.240000000000021","0","False","1000","vandelay-industries","data-eng","0","0"
"2026-03-01","hapticMacGyver","copilot","copilot_premium_request","Claude Opus 4.6","288","requests","0.04","11.52","11.52","0","False","1000","waynetech","platform-team","0","0"
"2026-03-01","virtualBradtke","copilot","copilot_premium_request","Claude Sonnet 4.6","26","requests","0.04","1.04000000000002","1.04000000000002","0","False","300","cyberdyne-sys","cloud-native","0","0"
"2026-03-01","jay57","copilot","copilot_premium_request","Gemini 2.5 Pro","52","requests","0.04","2.08","2.08","0","False","1000","initech","","0","0"
"2026-03-01","jay57","copilot","copilot_premium_request","GPT-5.2","153","requests","0.04","6.12000000000001","6.12000000000001","0","False","1000","Bluth-Company","compliance","0","0"
"2026-03-01","1080pBauch","copilot","copilot_premium_request","GPT-5.2-Codex","261","requests","0.04","10.44","10.44","0","False","300","umbrella-corp","","0","0"
"2026-03-01","1080pBauch","copilot","copilot_premium_request","Claude Sonnet 4.5","9","requests","0.04","0.360000000000015","0.360000000000015","0","False","300","waynetech","","0","0"
"2026-03-01","1080pBauch","copilot","copilot_premium_request","Claude Haiku 4.5","374","requests","0.04","14.96","14.96","0","False","1000","initech","","0","0"
"2026-03-01","eve93","copilot","copilot_premium_request","Gemini 2.5 Pro","365","requests","0.04","14.6","14.6","0","True","300","cyberdyne-sys","","0","0"
"2026-03-01","eve93","spark","spark_premium_request","Claude Sonnet 4.6","236","requests","0.04","9.44","9.44","0","False","300","waynetech","","0","0"
"2026-03-01","eve93","copilot","copilot_premium_request","Code Review model","5","requests","0.04","0.200000000000017","0.200000000000017","0","False","1000","globex-inc","","0","0"
"2026-03-01","suzanne_hahn54","copilot","copilot_premium_request","GPT-5.2","49","requests","0.04","1.96","1.96","0","False","1000","waynetech","security-ops","0","0"
"2026-03-01","suzanne_hahn54","copilot","copilot_premium_request","Gemini 3 Pro","304","requests","0.04","12.16","12.16","0","False","1000","prestige-worldwide","","0","0"
"2026-03-01","asha38","copilot","copilot_premium_request","GPT-5","376","requests","0.04","15.04","15.04","0","False","1000","massive-dynamic","data-eng","0","0"
"2026-03-01","ariane94","copilot","copilot_premium_request","Claude Haiku 4.5","323","requests","0.04","12.92","12.92","0","False","1000","prestige-worldwide","","0","0"
"2026-03-01","ariane94","copilot","coding_agent_premium_request","Coding Agent model","9","requests","0.04","0.360000000000002","0.360000000000002","0","False","1000","hooli","data-eng","0","0"
"2026-03-01","ariane94","copilot","copilot_premium_request","Code Review model","7","requests","0.04","0.280000000000009","0.280000000000009","0","False","1000","prestige-worldwide","","0","0"
"2026-03-01","adah55","copilot","copilot_premium_request","GPT-5","58","requests","0.04","2.31999999999999","2.31999999999999","0","False","1000","hooli","security-ops","0","0"
"2026-03-01","digitalKiehn","copilot","copilot_premium_request","GPT-5.2","184","requests","0.04","7.36","7.36","0","False","1000","daily-planet-dev","","0","0"
"2026-03-01","digitalKiehn","copilot","copilot_premium_request","GPT-5.3-Codex","182","requests","0.04","7.28000000000002","7.28000000000002","0","False","300","aperture-labs","","0","0"
"2026-03-01","digitalKiehn","copilot","coding_agent_premium_request","Coding Agent model","9","requests","0.04","0.35999999999998","0.35999999999998","0","False","1000","hooli","cloud-native","0","0"
"2026-03-01","wirelessArmstrong","copilot","copilot_premium_request","GPT-5","263","requests","0.04","10.52","10.52","0","False","300","umbrella-corp","cloud-native","0","0"
"2026-03-01","wirelessArmstrong","copilot","copilot_premium_request","GPT-5.2-Codex","22","requests","0.04","0.879999999999982","0.879999999999982","0","False","300","waynetech","","0","0"
"2026-03-01","wirelessArmstrong","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.200000000000018","0.200000000000018","0","False","1000","starkindustries","","0","0"
"2026-03-01","wirelessArmstrong","copilot","copilot_premium_request","Code Review model","9","requests","0.04","0.36000000000002","0.36000000000002","0","False","300","prestige-worldwide","cloud-native","0","0"
"2026-03-01","dibbert-gloss","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.0800000000000002","0.0800000000000002","0","False","300","prestige-worldwide","","0","0"
"2026-03-01","dibbert-gloss","copilot","copilot_premium_request","GPT-5","148","requests","0.04","5.92000000000002","5.92000000000002","0","False","1000","waynetech","","0","0"
"2026-03-01","dibbert-gloss","copilot","copilot_premium_request","Claude Sonnet 4.5","188","requests","0.04","7.52","7.52","0","False","300","globex-inc","ml-infra","0","0"
"2026-03-01","dibbert-gloss","copilot","copilot_premium_request","Claude Opus 4.5","395","requests","0.04","15.8","15.8","0","False","1000","waynetech","ml-infra","0","0"
"2026-03-01","leland12","copilot","copilot_premium_request","Gemini 3 Pro","188","requests","0.04","7.52000000000001","7.52000000000001","0","False","1000","springfield-nuclear","frontend-guild","0","0"
"2026-03-01","solidstateChristians","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.0799999999999958","0.0799999999999958","0","False","1000","prestige-worldwide","","0","0"
"2026-03-01","open-sourceHahn","copilot","copilot_premium_request","Claude Haiku 4.5","12","requests","0.04","0.480000000000015","0.480000000000015","0","False","1000","starkindustries","frontend-guild","0","0"
"2026-03-01","multi-byteBednar","copilot","copilot_premium_request","Code Review model","3","requests","0.04","0.120000000000003","0.120000000000003","0","False","300","acme-corp","platform-team","0","0"
"2026-03-01","multi-byteBednar","copilot","copilot_premium_request","Gemini 2.5 Pro","351","requests","0.04","14.04","14.04","0","True","300","Bluth-Company","platform-team","0","0"
"2026-03-01","keyshawnschinner16","copilot","copilot_premium_request","GPT-5.2-Codex","259","requests","0.04","10.36","10.36","0","False","1000","Bluth-Company","devex","0","0"
"2026-03-01","keyshawnschinner16","copilot","copilot_premium_request","GPT-5","135","requests","0.04","5.40000000000001","5.40000000000001","0","False","300","umbrella-corp","","0","0"
"2026-03-01","keyshawnschinner16","copilot","copilot_premium_request","Claude Opus 4.5","69","requests","0.04","2.75999999999998","2.75999999999998","0","False","1000","umbrella-corp","data-eng","0","0"
"2026-03-01","kian_koch","copilot","copilot_premium_request","Claude Haiku 4.5","335","requests","0.04","13.4","13.4","0","True","300","initech","security-ops","0","0"
"2026-03-01","kian_koch","copilot","copilot_premium_request","Gemini 3 Pro","172","requests","0.04","6.88000000000002","6.88000000000002","0","False","1000","umbrella-corp","compliance","0","0"
"2026-03-01","kian_koch","copilot","copilot_premium_request","GPT-5.2","70","requests","0.04","2.80000000000001","2.80000000000001","0","False","1000","soylent-corp","cloud-native","0","0"
"2026-03-01","gary51","copilot","copilot_premium_request","Gemini 3 Pro","245","requests","0.04","9.80000000000001","9.80000000000001","0","False","1000","vandelay-industries","","0","0"
"2026-03-01","gary51","copilot","copilot_premium_request","Gemini 2.5 Pro","106","requests","0.04","4.24000000000002","4.24000000000002","0","False","300","wonka-factory","compliance","0","0"
"2026-03-01","gary51","copilot","copilot_premium_request","Claude Opus 4.6","121","requests","0.04","4.83999999999999","4.83999999999999","0","False","1000","daily-planet-dev","ml-infra","0","0"
"2026-03-01","open-sourceTerry","copilot","copilot_premium_request","Code Review model","3","requests","0.04","0.119999999999995","0.119999999999995","0","False","1000","soylent-corp","frontend-guild","0","0"
"2026-03-01","open-sourceTerry","copilot","copilot_premium_request","Gemini 2.5 Pro","78","requests","0.04","3.11999999999999","3.11999999999999","0","False","300","vandelay-industries","","0","0"
"2026-03-01","auxiliaryLowe","copilot","copilot_premium_request","Claude Opus 4.6","187","requests","0.04","7.48000000000001","7.48000000000001","0","False","300","initech","security-ops","0","0"
"2026-03-01","auxiliaryLowe","copilot","copilot_premium_request","Claude Opus 4.5","132","requests","0.04","5.28000000000002","5.28000000000002","0","False","1000","vandelay-industries","cloud-native","0","0"
"2026-03-01","auxiliaryLowe","copilot","copilot_premium_request","GPT-5.2","97","requests","0.04","3.88","3.88","0","False","1000","daily-planet-dev","devex","0","0"
"2026-03-01","auxiliaryLowe","copilot","copilot_premium_request","Claude Sonnet 4.6","317","requests","0.04","12.68","12.68","0","False","1000","daily-planet-dev","cloud-native","0","0"
